query	clarification_question
tell me more about Doctor Zhivago	would you like to ask dr zhivago a question
tell me more about Doctor Zhivago	would you like to buy the novel of this title
tell me more about Doctor Zhivago	would you like to know about the 2002 ministries
tell me more about Doctor Zhivago	would you like to know about the cast of this movie
tell me more about Doctor Zhivago	would you like to know more about the 1965 film
tell me more about Doctor Zhivago	would you like to know more about the russian civil war
tell me more about Doctor Zhivago	would you like to know more about the russian civil war
tell me more about Doctor Zhivago	would you like to schedule an appointment with dr zhivago
tell me more about Doctor Zhivago	are you referring to a different dr zhivago
tell me more about Doctor Zhivago	are you referring to a different dr zhivago
tell me more about Doctor Zhivago	are you referring to the 1957 novel or the 2011 musical
tell me more about Doctor Zhivago	are you referring to the 1965 movie or the 2002 ministries
tell me more about Doctor Zhivago	are you referring to the movie or the book
tell me more about Doctor Zhivago	are you referring to the person
tell me more about Doctor Zhivago	did you know that its 1965 film adaptation got 5 oscars i can give you more details if you want
tell me more about Doctor Zhivago	do you need directions to visit dr zhivago
tell me more about Doctor Zhivago	are you asking about the movie doctor zhivago
tell me more about Doctor Zhivago	do you want to know dr zhivago hours
tell me more about Doctor Zhivago	do you want to know if doctor zhivago is a real person
tell me more about Doctor Zhivago	do you want to know if any theatres near you is playing the movie
tell me more about Doctor Zhivago	do you want to know more about the 1957 novel
tell me more about Doctor Zhivago	do you want to know the field o medicine doctor zhivago practices
tell me more about Doctor Zhivago	do you want to know the summery of this movie
tell me more about Doctor Zhivago	do you want to know which actor played doctor zhivago in the movie
tell me more about Doctor Zhivago	do you want to make an appointment with doctor zhivago
tell me more about Doctor Zhivago	do you want to read reviews about dr zhivago
tell me more about Doctor Zhivago	i assume you are referring to the 1965 film adaptation by david lean would you like to know which home media releases there are
tell me more about Doctor Zhivago	are you interested in boris pasternak
tell me more about Doctor Zhivago	it was quite an interesting story behind writing the novel and getting it printed want to know more
tell me more about Doctor Zhivago	would you like to ask dr zhivago a question
tell me more about Doctor Zhivago	would you like to buy the novel of this title
